Nome,Owner,Coverage,Qnt. de BUG Issues,Último update nas BUG Issues,Qnt. de LOC de teste,URL
java-design-patterns,iluwatar,83%,71,19/05/20,29324,https://github.com/iluwatar/java-design-patterns
glide,bumptech,75%,409,11/05/20,37125,https://github.com/bumptech/glide
jadx,skylot,73%,173,22/05/20,27487,https://github.com/skylot/jadx
mybatis-3,mybatis,87%,119,19/05/20,37151,https://github.com/mybatis/mybatis-3
skywalking,apache,31%,361,23/05/20,37937,https://github.com/apache/skywalking
HikariCP,brettwooldridge,76%,106,08/05/20,7165,https://github.com/brettwooldridge/HikariCP
shardingsphere,apache,56%,457,22/05/20,2261,https://github.com/apache/shardingsphere
rocketmq,apache,51%,65,13/05/20,25663,https://github.com/apache/rocketmq
mockito,mockito,86%,73,20/05/20,42680,https://github.com/mockito/mockito
spring-boot-admin,codecentric,91%,163,19/05/20,12837,https://github.com/codecentric/spring-boot-admin
android-gif-drawable,koral--,8%,120,23/04/20,605,https://github.com/koral--/android-gif-drawable
grpc-java,grpc,88%,256,21/05/20,113254,https://github.com/grpc/grpc-java
OpenRefine,OpenRefine,46%,746,22/05/20,32432,https://github.com/OpenRefine/OpenRefine
hsweb-framework,hs-web,6%,34,15/05/20,1183,https://github.com/hs-web/hsweb-framework
resilience4j,resilience4j,100%,29,14/05/20,40554,https://github.com/resilience4j/resilience4j
checkstyle,checkstyle,72%,366,17/05/20,88974,https://github.com/checkstyle/checkstyle
springfox,springfox,97%,414,22/05/20,2316,https://github.com/springfox/springfox
orientdb,orientechnologies,45%,1721,20/05/20,227526,https://github.com/orientechnologies/orientdb
cryptomator,cryptomator,73%,264,22/05/20,1222,https://github.com/cryptomator/cryptomator
junit5,junit-team,57%,192,22/05/20,81494,https://github.com/junit-team/junit5
byte-buddy,raphw,85%,88,07/05/20,103140,https://github.com/raphw/byte-buddy
failsafe,jhalterman,93%,18,12/05/20,6202,https://github.com/jhalterman/failsafe
opengrok,oracle,73%,861,19/05/20,33510,https://github.com/oracle/opengrok
NullAway,uber,92%,12,06/05/20,3873,https://github.com/uber/NullAway
crate,crate,20%,108,29/04/20,163735,https://github.com/crate/crate
graphhopper,graphhopper,38%,233,22/05/20,46678,https://github.com/graphhopper/graphhopper
conductor,Netflix,69%,41,21/05/20,42032,https://github.com/Netflix/conductor
