Nome,Owner,Coverage,Qnt. de BUG Issues,Último update nas BUG Issues,Qnt. de LOC de teste,URL
vue,vuejs,96%,363,01/05/20,29686,https://github.com/vuejs/vue
react,facebook,86%,570,22/05/20,135321,https://github.com/facebook/react
bootstrap,twbs,95%,219,15/05/20,5329,https://github.com/twbs/bootstrap
react-native,facebook,9%,3125,23/05/20,84747,https://github.com/facebook/react-native
webpack,webpack,95%,818,17/05/20,19965,https://github.com/webpack/webpack
Chart.js,chartjs,92%,1232,22/05/20,18563,https://github.com/chartjs/Chart.js
next.js,zeit,52%,303,22/05/20,33581,https://github.com/zeit/next.js
Semantic-UI,Semantic-Org,89%,952,19/05/20,311,https://github.com/Semantic-Org/Semantic-UI
lodash,lodash,33%,240,12/05/20,4288,https://github.com/lodash/lodash
moment,moment,88%,251,20/05/20,92,https://github.com/moment/moment
serverless,serverless,91%,1048,22/05/20,56553,https://github.com/serverless/serverless
Ghost,TryGhost,44%,1530,22/05/20,60322,https://github.com/TryGhost/Ghost
hexo,hexojs,98%,247,20/05/20,45,https://github.com/hexojs/hexo
mermaid,mermaid-js,46%,155,22/05/20,8637,https://github.com/mermaid-js/mermaid
video.js,videojs,86%,344,15/05/20,19696,https://github.com/videojs/video.js
Rocket.Chat,RocketChat,57%,1959,22/05/20,4105,https://github.com/RocketChat/Rocket.Chat
preact,preactjs,100%,163,21/05/20,26264,https://github.com/preactjs/preact
underscore,jashkenas,97%,103,09/05/20,0,https://github.com/jashkenas/underscore
mobx,mobxjs,94%,84,20/05/20,6379,https://github.com/mobxjs/mobx
sails,balderdashy,99%,156,03/05/20,6219,https://github.com/balderdashy/sails
wepy,Tencent,39%,58,05/05/20,2472,https://github.com/Tencent/wepy
react-select,JedWatson,70%,50,21/05/20,5275,https://github.com/JedWatson/react-select
lighthouse,GoogleChrome,90%,348,20/05/20,43154,https://github.com/GoogleChrome/lighthouse
mocha,mochajs,93%,244,20/05/20,15910,https://github.com/mochajs/mocha
pug,pugjs,77%,118,16/05/20,77330,https://github.com/pugjs/pug
react-virtualized,bvaughn,100%,85,16/05/20,178,https://github.com/bvaughn/react-virtualized
scrollreveal,jlmakes,30%,73,02/05/20,551,https://github.com/jlmakes/scrollreveal
ava,avajs,87%,218,19/05/20,3290,https://github.com/avajs/ava
parse-server,parse-community,9%,169,16/05/20,76645,https://github.com/parse-community/parse-server
sharp,lovell,100%,125,17/05/20,0,https://github.com/lovell/sharp
eslint,eslint,69%,2147,23/05/20,3713,https://github.com/eslint/eslint
graphql-js,graphql,98%,30,22/05/20,40720,https://github.com/graphql/graphql-js
pkg,zeit,9%,15,06/05/20,4369,https://github.com/zeit/pkg
bower,bower,85%,163,27/04/20,1740,https://github.com/bower/bower
chalk,chalk,100%,20,27/04/20,157,https://github.com/chalk/chalk
fastify,fastify,99%,101,20/05/20,17197,https://github.com/fastify/fastify
riot,riot,100%,371,16/05/20,958,https://github.com/riot/riot
vant,youzan,0%,285,23/05/20,13399,https://github.com/youzan/vant
handsontable,handsontable,67%,1966,22/05/20,18426,https://github.com/handsontable/handsontable
loopback,strongloop,90%,345,22/05/20,17002,https://github.com/strongloop/loopback
Inquirer.js,SBoudrias,92%,50,19/05/20,265,https://github.com/SBoudrias/Inquirer.js
feathers,feathersjs,19%,38,29/04/20,11106,https://github.com/feathersjs/feathers
kitematic,docker,67%,272,17/05/20,82,https://github.com/docker/kitematic
appium,appium,89%,1327,20/05/20,3842,https://github.com/appium/appium
sweetalert2,sweetalert2,92%,65,20/05/20,3549,https://github.com/sweetalert2/sweetalert2
NodeBB,NodeBB,90%,2218,22/05/20,43,https://github.com/NodeBB/NodeBB
shields,badges,96%,240,12/05/20,7540,https://github.com/badges/shields
nightwatch,nightwatchjs,85%,162,19/05/20,21339,https://github.com/nightwatchjs/nightwatch
mathjs,josdejong,49%,154,20/05/20,45437,https://github.com/josdejong/mathjs
node-restify,restify,33%,107,06/05/20,13024,https://github.com/restify/node-restify
summernote,summernote,81%,254,23/05/20,3323,https://github.com/summernote/summernote
luxon,moment,96%,2,28/04/20,6622,https://github.com/moment/luxon
workbox,GoogleChrome,79%,108,15/05/20,15512,https://github.com/GoogleChrome/workbox
web3.js,ethereum,90%,333,23/05/20,6116,https://github.com/ethereum/web3.js
uncss,uncss,98%,11,19/05/20,47,https://github.com/uncss/uncss
debug,visionmedia,88%,23,19/05/20,121,https://github.com/visionmedia/debug
truffle,trufflesuite,73%,120,20/05/20,5427,https://github.com/trufflesuite/truffle
laverna,Laverna,95%,140,27/04/20,112,https://github.com/Laverna/laverna
bull,OptimalBits,94%,68,23/05/20,6404,https://github.com/OptimalBits/bull
openzeppelin-contracts,OpenZeppelin,100%,32,27/04/20,5489,https://github.com/OpenZeppelin/openzeppelin-contracts
stylelint,stylelint,97%,480,23/05/20,9570,https://github.com/stylelint/stylelint
hls.js,video-dev,90%,237,19/05/20,355,https://github.com/video-dev/hls.js
yargs,yargs,100%,101,11/05/20,10,https://github.com/yargs/yargs
deck.gl,visgl,83%,404,22/05/20,23232,https://github.com/visgl/deck.gl
ajv,ajv-validator,97%,44,24/04/20,8094,https://github.com/ajv-validator/ajv
react-vis,uber,93%,74,22/05/20,5791,https://github.com/uber/react-vis
openlayers,openlayers,85%,21,22/05/20,60498,https://github.com/openlayers/openlayers
react-dropzone,react-dropzone,100%,26,20/05/20,2946,https://github.com/react-dropzone/react-dropzone
ts-node,TypeStrong,82%,101,16/05/20,3,https://github.com/TypeStrong/ts-node
zeroclipboard,zeroclipboard,62%,91,01/05/20,4607,https://github.com/zeroclipboard/zeroclipboard
eslint-plugin-react,yannickcr,98%,468,15/05/20,0,https://github.com/yannickcr/eslint-plugin-react
aws-sdk-js,aws,92%,91,22/05/20,13638,https://github.com/aws/aws-sdk-js
vue-i18n,kazupon,90%,42,12/05/20,0,https://github.com/kazupon/vue-i18n
react-modal,reactjs,87%,59,12/05/20,1172,https://github.com/reactjs/react-modal
pino,pinojs,100%,15,07/05/20,6096,https://github.com/pinojs/pino
npm-check-updates,raineorshine,90%,97,18/05/20,1601,https://github.com/raineorshine/npm-check-updates
node-crawler,bda-research,90%,19,29/04/20,1631,https://github.com/bda-research/node-crawler
ui-grid,angular-ui,85%,371,13/05/20,20677,https://github.com/angular-ui/ui-grid
turf,Turfjs,92%,161,07/05/20,8930,https://github.com/Turfjs/turf
