Nome,Owner,Coverage,Qnt. de BUG Issues,Último update nas BUG Issues,Qnt. de LOC de teste,URL
thefuck,nvbn,93%,6,09/05/20,7996,https://github.com/nvbn/thefuck
httpie,jakubroztocil,94%,84,19/05/20,2374,https://github.com/jakubroztocil/httpie
ansible,ansible,81%,16986,23/05/20,27169,https://github.com/ansible/ansible
scikit-learn,scikit-learn,34%,1091,22/05/20,87886,https://github.com/scikit-learn/scikit-learn
scrapy,scrapy,93%,227,22/05/20,22457,https://github.com/scrapy/scrapy
incubator-superset,apache,51%,2,15/05/20,21372,https://github.com/apache/incubator-superset
certbot,certbot,99%,343,21/05/20,30127,https://github.com/certbot/certbot
sentry,getsentry,90%,75,22/05/20,161338,https://github.com/getsentry/sentry
localstack,localstack,73%,284,20/05/20,2323,https://github.com/localstack/localstack
black,psf,96%,264,22/05/20,2182,https://github.com/psf/black
glances,nicolargo,40%,385,21/05/20,836,https://github.com/nicolargo/glances
ZeroNet,HelloZeroNet,54%,142,03/05/20,2781,https://github.com/HelloZeroNet/ZeroNet
zulip,zulip,77%,1440,23/05/20,26860,https://github.com/zulip/zulip
salt,saltstack,97%,9736,23/05/20,67494,https://github.com/saltstack/salt
ChatterBot,gunthercox,90%,65,01/05/20,586,https://github.com/gunthercox/ChatterBot
aiohttp,aio-libs,27%,226,20/05/20,2923,https://github.com/aio-libs/aiohttp
aws-cli,aws,89%,327,22/05/20,56767,https://github.com/aws/aws-cli
beets,beetbox,73%,328,11/05/20,21646,https://github.com/beetbox/beets
wagtail,wagtail,27%,740,22/05/20,51171,https://github.com/wagtail/wagtail
Pillow,python-pillow,88%,251,22/05/20,16156,https://github.com/python-pillow/Pillow
tpot,EpistasisLab,97%,89,21/05/20,5163,https://github.com/EpistasisLab/tpot
sympy,sympy,19%,3500,23/05/20,197579,https://github.com/sympy/sympy
tweepy,tweepy,67%,95,05/05/20,9804,https://github.com/tweepy/tweepy
pwntools,Gallopsled,68%,133,20/05/20,118,https://github.com/Gallopsled/pwntools
moviepy,Zulko,67%,113,22/05/20,2113,https://github.com/Zulko/moviepy
pip,pypa,100%,619,23/05/20,21685,https://github.com/pypa/pip
paramiko,paramiko,75%,159,08/05/20,4006,https://github.com/paramiko/paramiko
psutil,giampaolo,90%,643,22/05/20,10234,https://github.com/giampaolo/psutil
