Nome,Owner,Coverage,Qnt. de BUG Issues,Último update nas BUG Issues,Qnt. de LOC de teste,URL
vue,vuejs,96%,363,01/05/20,28658,https://github.com/vuejs/vue
react,facebook,86%,569,13/05/20,18,https://github.com/facebook/react
bootstrap,twbs,95%,219,05/05/20,5269,https://github.com/twbs/bootstrap
react-native,facebook,9%,3125,13/05/20,0,https://github.com/facebook/react-native
webpack,webpack,95%,818,11/05/20,14211,https://github.com/webpack/webpack
Chart.js,chartjs,94%,1227,13/05/20,18466,https://github.com/chartjs/Chart.js
next.js,zeit,52%,301,12/05/20,31093,https://github.com/zeit/next.js
Semantic-UI,Semantic-Org,89%,952,19/04/20,311,https://github.com/Semantic-Org/Semantic-UI
lodash,lodash,33%,240,12/05/20,4288,https://github.com/lodash/lodash
moment,moment,88%,252,13/05/20,0,https://github.com/moment/moment
serverless,serverless,91%,1045,13/05/20,52634,https://github.com/serverless/serverless
Ghost,TryGhost,44%,1529,13/05/20,0,https://github.com/TryGhost/Ghost
hexo,hexojs,98%,247,11/05/20,0,https://github.com/hexojs/hexo
mermaid,mermaid-js,53%,149,13/05/20,8914,https://github.com/mermaid-js/mermaid
video.js,videojs,86%,344,13/05/20,19342,https://github.com/videojs/video.js
Rocket.Chat,RocketChat,57%,1958,12/05/20,2737,https://github.com/RocketChat/Rocket.Chat
preact,preactjs,100%,159,04/05/20,25777,https://github.com/preactjs/preact
underscore,jashkenas,97%,103,09/05/20,0,https://github.com/jashkenas/underscore
Modernizr,Modernizr,97%,9,17/04/20,0,https://github.com/Modernizr/Modernizr
faker.js,Marak,99%,6,15/04/20,0,https://github.com/Marak/faker.js
mobx,mobxjs,94%,83,13/05/20,9,https://github.com/mobxjs/mobx
sails,balderdashy,99%,156,03/05/20,5957,https://github.com/balderdashy/sails
wepy,Tencent,39%,58,05/05/20,2262,https://github.com/Tencent/wepy
react-select,JedWatson,70%,49,17/04/20,4642,https://github.com/JedWatson/react-select
lighthouse,GoogleChrome,91%,344,12/05/20,160,https://github.com/GoogleChrome/lighthouse
mocha,mochajs,93%,244,12/05/20,14837,https://github.com/mochajs/mocha
pug,pugjs,77%,118,03/05/20,77057,https://github.com/pugjs/pug
react-virtualized,bvaughn,100%,85,05/05/20,0,https://github.com/bvaughn/react-virtualized
scrollreveal,jlmakes,30%,73,02/05/20,551,https://github.com/jlmakes/scrollreveal
ava,avajs,87%,218,08/05/20,2,https://github.com/avajs/ava
parse-server,parse-community,9%,169,11/05/20,76535,https://github.com/parse-community/parse-server
sharp,lovell,100%,125,07/05/20,0,https://github.com/lovell/sharp
eslint,eslint,69%,2140,13/05/20,0,https://github.com/eslint/eslint
graphql-js,graphql,98%,29,10/05/20,0,https://github.com/graphql/graphql-js
pkg,zeit,9%,15,06/05/20,0,https://github.com/zeit/pkg
bower,bower,85%,163,27/04/20,0,https://github.com/bower/bower
chalk,chalk,100%,20,27/04/20,0,https://github.com/chalk/chalk
fastify,fastify,99%,99,12/05/20,16428,https://github.com/fastify/fastify
riot,riot,100%,371,02/05/20,958,https://github.com/riot/riot
vant,youzan,0%,281,12/05/20,13334,https://github.com/youzan/vant
handsontable,handsontable,67%,1937,13/05/20,18077,https://github.com/handsontable/handsontable
loopback,strongloop,90%,342,11/05/20,16418,https://github.com/strongloop/loopback
pouchdb,pouchdb,31%,288,14/04/20,0,https://github.com/pouchdb/pouchdb
feathers,feathersjs,19%,38,29/04/20,6410,https://github.com/feathersjs/feathers
kitematic,docker,67%,272,09/05/20,0,https://github.com/docker/kitematic
appium,appium,89%,1327,06/05/20,664,https://github.com/appium/appium
sweetalert2,sweetalert2,92%,65,08/05/20,2723,https://github.com/sweetalert2/sweetalert2
NodeBB,NodeBB,90%,2213,09/05/20,0,https://github.com/NodeBB/NodeBB
shields,badges,96%,240,12/05/20,6939,https://github.com/badges/shields
summernote,summernote,81%,253,07/05/20,3280,https://github.com/summernote/summernote
nightwatch,nightwatchjs,85%,162,13/05/20,0,https://github.com/nightwatchjs/nightwatch
mathjs,josdejong,49%,152,04/05/20,45168,https://github.com/josdejong/mathjs
node-restify,restify,33%,107,06/05/20,13024,https://github.com/restify/node-restify
summernote,summernote,81%,253,07/05/20,3280,https://github.com/summernote/summernote
luxon,moment,96%,2,28/04/20,6620,https://github.com/moment/luxon
workbox,GoogleChrome,79%,108,12/05/20,0,https://github.com/GoogleChrome/workbox
dataloader,graphql,100%,1,16/04/20,1293,https://github.com/graphql/dataloader
